Job Title,Total Credits,Compatibility (%)
Data Analyst,157.33333333333334,100.0
Policy Analyst,130.33333333333334,82.83898305084746
Investment Banker,130.33333333333334,82.83898305084746
Economist,130.33333333333334,82.83898305084746
Economic Historian,130.33333333333334,82.83898305084746
Research Analyst,130.33333333333334,82.83898305084746
Central Banker,130.33333333333334,82.83898305084746
Market Analyst,130.33333333333334,82.83898305084746
Investment Advisor,130.33333333333334,82.83898305084746
Financial Planner,130.33333333333334,82.83898305084746
Valuation Analyst,130.33333333333334,82.83898305084746
Financial Controller,130.33333333333334,82.83898305084746
Treasurer,130.33333333333334,82.83898305084746
Financial Analyst,130.33333333333334,82.83898305084746
Finance Manager,130.33333333333334,82.83898305084746
Behavioral Economist,130.33333333333334,82.83898305084746
Event Planner,47.0,29.8728813559322
Operations Manager,47.0,29.8728813559322
Design Engineer,47.0,29.8728813559322
Equipment Manager,47.0,29.8728813559322
Menu Consultant,47.0,29.8728813559322
Restaurant Manager,47.0,29.8728813559322
Event Coordinator,47.0,29.8728813559322
Business Administrator,47.0,29.8728813559322
Supply Chain Manager,47.0,29.8728813559322
Social Accountant,47.0,29.8728813559322
Procurement Manager,47.0,29.8728813559322
Business Analyst,47.0,29.8728813559322
Systems Analyst,47.0,29.8728813559322
Risk Manager,47.0,29.8728813559322
Compliance Officer,47.0,29.8728813559322
IT Manager,47.0,29.8728813559322
Auditor,47.0,29.8728813559322
Cost Analyst,47.0,29.8728813559322
Management Accountant,47.0,29.8728813559322
Warehouse Manager,47.0,29.8728813559322
Logistics Manager,47.0,29.8728813559322
Customer Service Manager,27.0,17.16101694915254
Food Historian,27.0,17.16101694915254
Marketing Analyst,27.0,17.16101694915254
Digital Marketer,27.0,17.16101694915254
Python Developer,27.0,17.16101694915254
Data Scientist,27.0,17.16101694915254
Software Developer,27.0,17.16101694915254
IT Specialist,27.0,17.16101694915254
Culinary Instructor,27.0,17.16101694915254
Chef,27.0,17.16101694915254
Culinary Educator,27.0,17.16101694915254
Nutritionist,27.0,17.16101694915254
Viticulturist,27.0,17.16101694915254
Winemaker,27.0,17.16101694915254
Toxicologist,27.0,17.16101694915254
Product Development Scientist,27.0,17.16101694915254
Food Technologist,27.0,17.16101694915254
Dietitian,27.0,17.16101694915254
Quality Control Analyst,27.0,17.16101694915254
Food Scientist,27.0,17.16101694915254
Quality Assurance Manager,27.0,17.16101694915254
Food Safety Manager,27.0,17.16101694915254
Business Intelligence Analyst,27.0,17.16101694915254
Customer Support Specialist,27.0,17.16101694915254
Mathematician,25.0,15.889830508474576
Environmental Consultant,14.0,8.898305084745763
Sustainability Manager,14.0,8.898305084745763
Maintenance Manager,14.0,8.898305084745763
Safety Engineer,14.0,8.898305084745763
Strategic Consultant,14.0,8.898305084745763
Translator,14.0,8.898305084745763
Technical Writer,14.0,8.898305084745763
Research Scientist,14.0,8.898305084745763
Innovation Manager,14.0,8.898305084745763
Researcher,14.0,8.898305084745763
Academic,14.0,8.898305084745763
Communications Specialist,14.0,8.898305084745763
Public Relations Officer,14.0,8.898305084745763
